"macrocode","UF","macrorregiao","OM2009","OM2010","OM2011","OM2012","OM2013","OM2014","OM2015","OM2016","OM2017","OM2018","OM2019"
3529,"SP","RRAS14",19,12,19,12,9,7,8,16,16,10,8
3530,"SP","RRAS13",22,14,13,17,10,18,29,21,23,22,20
3531,"SP","RRAS12",15,7,7,10,9,13,10,13,11,10,13
3532,"SP","RRAS11",5,1,2,1,2,6,6,5,6,5,3
3533,"SP","RRAS10",7,3,6,6,5,7,5,7,12,12,5
3534,"SP","RRAS1",12,9,10,18,19,16,21,26,24,12,15
4105,"PR","MACRORREGIONAL NORTE",20,12,16,7,13,15,19,18,9,8,17
4106,"PR","MACRORREGIONAL NOROESTE",19,16,11,13,14,10,19,13,13,12,10
4107,"PR","MACRORREGIONAL LESTE",51,40,37,35,29,36,28,25,19,28,29
4108,"PR","MACRORREGIAO OESTE",18,21,17,5,10,5,18,15,10,12,12
4210,"SC","SUL",3,3,4,3,3,3,2,1,4,3,3
4211,"SC","PLANALTO NORTE E NORDESTE",4,5,1,6,6,4,4,3,8,3,7
4212,"SC","MEIO OESTE E SERRA CATARINENSE",3,6,3,3,4,6,2,8,9,3,3
4213,"SC","GRANDE OESTE",1,3,3,2,0,2,6,1,6,6,5
4214,"SC","GRANDE FLORIANOPOLIS",1,4,4,4,5,1,4,5,4,7,6
4215,"SC","FOZ DO RIO ITAJAI",6,1,1,6,3,5,4,6,3,9,4
4216,"SC","ALTO VALE DO ITAJAI",1,2,5,8,5,3,6,5,2,5,3
4308,"RS","VALES",9,4,6,4,1,3,3,1,5,4,1
4309,"RS","SUL",3,8,12,12,7,10,7,7,4,8,10
4310,"RS","SERRA",7,6,5,4,6,4,3,6,4,3,5
4311,"RS","NORTE",8,13,6,11,6,7,5,8,6,7,9
4312,"RS","MISSIONEIRA",11,5,7,5,2,5,4,3,5,4,5
4313,"RS","METROPOLITANA",30,37,28,51,20,25,27,28,23,20,17
4314,"RS","CENTRO-OESTE",7,8,3,5,1,5,5,3,8,5,2
5005,"MS","TRES LAGOAS",4,1,3,3,4,3,2,3,3,4,0
5006,"MS","DOURADOS",15,12,5,6,5,10,13,12,12,5,9
5007,"MS","CORUMBA",3,5,6,1,0,5,3,2,0,3,1
5008,"MS","CAMPO GRANDE",13,12,16,19,13,8,12,11,6,17,12
5101,"MT","MACRORREGIAO SUL",7,8,5,4,3,1,6,8,2,6,7
5102,"MT","MACRORREGIAO OESTE",4,3,2,2,2,3,7,3,3,6,5
5103,"MT","MACRORREGIAO NORTE",4,8,6,4,5,9,6,10,7,6,10
5104,"MT","MACRORREGIAO LESTE",1,1,4,1,3,0,3,4,0,3,3
5105,"MT","MACRORREGIAO CENTRO-NORTE",19,15,17,19,26,24,22,16,21,11,13
5206,"GO","MACRORREGIAO SUDOESTE",1,1,3,1,3,5,3,5,1,3,3
5207,"GO","MACRORREGIAO NORDESTE",1,2,1,1,1,2,4,2,2,4,6
5208,"GO","MACRORREGIAO CENTRO-OESTE",20,19,23,32,28,27,21,22,27,30,41
5209,"GO","MACRORREGIAO CENTRO-NORTE",5,6,2,7,6,7,9,10,6,13,7
5210,"GO","MACRORREGIAO CENTRO SUDESTE",2,0,2,1,2,6,10,5,5,5,4
5302,"DF","DISTRITO FEDERAL",37,39,28,32,32,27,26,34,31,34,16
