"macrocode","Macrorregiao","MPIBPC20092013","MPIBPC20142018","Med_por1000_20092013","Med_por1000_20142018","MPSaude20092013","MPSaude20142018","Mpobres2010","MTMI2010","MTAnalfa2010","MGini2010","MExPobres2010","MITheilL2010","MITheilRT2010","MAguaEsgRuim2010","MSemEletric2010","MIDH2010","MIDH_Edu2010","MIDH_Long2010","MIDH_Renda2010"
1101,"MACRORREGIONAL II (CACOAL)",14680.4271156302,20628.5181837531,0.654620139382011,0.880205168972783,5.73184254114691,6.1238317485409,16.0961358044985,18.1776427660277,9.87216958717161,0.531540964276059,7.2002831071691,0.516288225920608,0.444163563672623,6.69948334300118,2.31177407939227,0.680065122799772,0.572250102904837,0.798739249331288,0.689704631193139
1102,"MACRORREGIAO I - PORTO VELHO",18498.474983279,23837.3836163914,1.08549529167795,1.15255438533735,13.2141822152341,10.4275702867062,13.6417805933012,17.5967968224308,7.76281206885701,0.543563135066054,5.66838241202868,0.528850672643569,0.442345696194566,17.6091150585991,3.11469740721198,0.692477983569973,0.576854621610762,0.806044226496202,0.717391597643448
1201,"MACRO UNICA - AC",12492.0603592423,17142.037311535,0.9812441353332,0.930470527189903,6.09735851985255,4.69501412196709,29.4274228248853,22.8941347594399,17.1468728895699,0.600081520368505,15.5732866476998,0.647181467339369,0.465812265952705,28.0717842191289,8.84084927047449,0.656538980504636,0.557959584709614,0.780539844784128,0.655650154929597
1302,"OESTE",5464.21862803553,8445.90222792651,0.305180883772161,0.369786661767123,1.24776915892166,0.568000546886855,55.4623706607787,23.4564026064947,23.7375958640745,0.625514890408746,33.8580500403899,0.675549614949647,0.488279024180085,39.9914490602617,15.4436625558727,0.550281766384835,0.412063589854058,0.763087737627228,0.534620763638322
1303,"LESTE",7280.33265247938,10181.31174463,0.352507368064908,0.356708346499682,0.868970580132897,0.781415576100452,47.1434761003938,19.8788331879609,10.8750226176856,0.606266590393336,27.8057649233302,0.664651710297277,0.509343105381801,38.6238952638793,15.6094789436521,0.61108556583861,0.512302093363087,0.784876386230021,0.571132275701658
1304,"CENTRAL",23858.5794673122,28008.79591977,1.11560552812459,1.01672042548905,18.6664952254725,16.0011069780473,22.7665281721194,16.3306046899585,7.86463913294561,0.612194514566967,10.8274092742178,0.673419403988457,0.482345906928516,13.6812843893745,4.77856257173447,0.691949480058119,0.596484082477473,0.810937906562263,0.69024028728325
1401,"MACRO-RORAIMA",15830.0621714918,21588.0074681751,1.16993778477572,1.14238765023705,5.94609160270264,5.24259433430741,26.635701420044,16.2218990674371,10.8410220232242,0.606615513708741,15.6414925446025,0.674137884340891,0.47574266502989,12.4484632579987,9.24855862315446,0.696991196037995,0.626152495454838,0.809357275255894,0.67556806421609
1509,"MACRORREGIONAL IV",21244.7136970413,25843.3603049704,0.416676653441785,0.446062005741686,8.41095636052453,7.6566434084081,28.6552204615013,21.469135415044,14.601225584949,0.555168539609284,13.2141733836765,0.538371716096417,0.393783058188719,30.6292714159673,6.07599637625177,0.624681095650935,0.49698475894128,0.783198847035066,0.630107093553373
1510,"MACRORREGIONAL III",9325.84168242796,16397.0170601291,0.303493720814419,0.403238343646012,3.21028308142474,3.24217986014604,39.6433452009808,20.6043284012779,13.0832654694088,0.590299661513818,22.1762425328505,0.62902348908835,0.493394748340565,38.1989939606982,15.6311596492335,0.616689598579489,0.50518533860505,0.788102008209253,0.59624585950815
1511,"MACRORREGIONAL II",7311.45768071629,11340.8279799075,0.309805396203248,0.333517743251572,2.61394663519084,2.33475724433317,41.5460664046698,23.3927446702189,16.373633336201,0.560341035210937,20.5722632769375,0.562265028057581,0.470004185604085,35.1667788054676,7.67764446283019,0.588778547985876,0.463856760208206,0.770674513148959,0.576025662146092
1512,"MACRORREGIONAL I",11159.1760910081,15808.8660811696,1.0355758469572,1.04056858187515,15.9855697833737,15.1551435478626,26.5600188133288,18.7802634248611,8.44536191348228,0.573684383693712,12.4089869750935,0.599981824303084,0.487262509221751,21.5515567623093,6.4726326449672,0.671231797363137,0.577571856012518,0.803594826382402,0.660991170392456
1601,"MACRO UNICA - AP",14340.1192008684,18813.0654452062,0.865697261067545,0.802071685525108,9.51543700532407,8.08705693220825,24.0793272255297,15.9570538858834,8.54827725883685,0.589340996466157,9.94219507532194,0.648465391933995,0.49029553743992,21.5348181399976,1.73909695814651,0.702498262950207,0.626141740574675,0.806740706111488,0.68699832418756
1701,"MACRORREGIAO NORTE",10975.4732368358,16573.6611416816,0.850093397032098,0.892510879981426,3.05879934891437,3.42758753126662,27.0481154898166,19.3913706665067,16.5509251119679,0.546104635560689,12.6947097836649,0.552429639852721,0.446677850950664,11.7270769182047,5.49572176968376,0.667705211609654,0.592264725835029,0.792481854290948,0.637447971410903
1702,"MACRORREGIAO CENTRO-SUL",15339.8695154479,23379.0684395644,1.11402050718812,1.20830926687562,7.90821704580211,7.78468030118159,18.3470356581272,16.262932880321,10.8383266793959,0.563418473100054,8.27542480114768,0.586335424813911,0.464062522335787,5.24376932364683,5.07522445551732,0.713362036309056,0.640248118688545,0.817887779899323,0.697017548270827
2109,"MACRORREGIAO SUL",10008.5883358619,16226.3293475051,0.481875466344349,0.545492651525221,4.08987761095678,4.7303688898436,34.9141114706284,26.1202605925269,20.1166437505438,0.571582007929636,18.3588236381037,0.596731697414375,0.486955094397468,20.8816375733823,5.99885542293463,0.632970529429555,0.547466979322459,0.768891827172053,0.606376460498896
