nome_macro,macrocode,nenhum_exame,de_1_a_3_exames,de_4_a_6_exames,mais_de_7_exames,ignorados,parto_vaginal,parto_cesariano
"MACRORREGIONAL I",1512,6.60815,12.8454,32.2718,47.9029,.37179,48.3885,51.6073
"MACRORREGIONAL II",1511,6.18539,11.1018,37.154,45.2738,.285017,50.6363,49.3596
"MACRORREGIONAL II (CACOAL)",1101,1.08564,3.96529,22.6279,72.1326,.188624,22.8907,77.1093
"MACRORREGIONAL III",1510,3.22542,13.1002,35.8974,47.1361,.640812,62.2644,37.7312
"MACRORREGIONAL IV",1509,1.83539,12.4861,36.7675,48.7478,.163206,44.471,55.5257
"MACRORREGIONAL LESTE",4107,.8103,3.1765,13.1275,82.6557,.229979,45.2979,54.6959
"MACRORREGIONAL NOROESTE",4106,.524803,2.28259,12.0791,85.0868,.026674,25.0836,74.9158
"MACRORREGIONAL NORTE",4105,.772385,2.15076,10.8383,86.0833,.155263,31.1571,68.8429
"MEIO NORTE",2208,3.93761,6.88674,27.6231,60.3682,1.18431,43.9039,56.0953
"MEIO OESTE E SERRA CATARINENSE",4212,.927375,4.58813,20.333,74.0489,.102614,36.2289,63.7711
"METROPOLITANA",2607,2.08791,7.51851,28.548,61.0257,.819881,48.8592,51.1399
"METROPOLITANA",3207,1.69827,6.10134,23.7434,68.2217,.23529,39.2976,60.7004
"METROPOLITANA",4313,1.57185,5.4758,18.857,73.9185,.176772,46.5466,53.4531
"MISSIONEIRA",4312,.599972,3.48907,18.3684,77.4272,.115379,23.4481,76.5503
"NORDESTE",3111,1.86832,5.61461,22.6002,69.6576,.259309,59.5885,40.4115
"NORDESTE (NRS - ALAGOINHAS)",2914,2.85723,7.056,29.1576,59.7132,1.21601,68.2257,31.7539
"NOROESTE",3109,.624342,3.68071,20.1586,75.382,.154271,36.2258,63.7742
"NORTE",3108,1.71248,3.62266,19.0937,75.4344,.13676,54.4157,45.5835
"NORTE",3206,.78301,4.56893,21.0643,73.4793,.104401,40.4499,59.5501
"NORTE",4311,.649829,3.32496,16.3475,79.6008,.076896,28.845,71.155
"NORTE - (NRS - JUAZEIRO)",2913,3.10189,8.3188,29.7797,58.4391,.360459,59.14,40.8581
"OESTE",1302,3.65817,15.2402,36.8171,43.6863,.598298,78.2864,21.6978
"OESTE",3105,.797546,2.84663,18.4796,77.6531,.22309,35.152,64.8458
"OESTE (NBS - BARREIRAS)",2912,1.82946,5.41228,23.0618,69.3978,.298663,56.3825,43.613
"PLANALTO NORTE E NORDESTE",4211,.52594,3.14447,18.45,77.7541,.125469,45.2888,54.7095
"RRAS1",3534,.79861,3.2129,16.7826,79.0189,.186989,36.7738,63.2239
"RRAS10",3533,.682073,2.764,12.9298,83.2326,.391515,28.8229,71.1746
"RRAS11",3532,.945898,3.12433,15.6252,80.1182,.186313,23.2642,76.734
"RRAS12",3531,.564409,2.38299,12.4134,84.3693,.269909,18.489,81.508
