macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
4309,"SUL",17604,26894.1,1.69624,1.68505,12.7095,12.4353,9.75073,12.203,5.87757,.519109,3.2065,.498441,.431213,.904095,.398005,.714899,.596481,.842694,.729263,36,64886,5.3e+06,1.222722,34.67635,55.48192,53.44196
4310,"SERRA",33341.7,43493.6,2.1167,1.95085,44.7448,36.3616,2.21623,11.6686,2.98339,.460787,.569855,.382479,.329379,.216748,.08074,.767537,.672643,.852346,.790095,20,74543,5.9e+06,1.257227,34.72539,26.83015,46.58438
4311,"NORTE",22642.5,35436.2,1.39668,1.43727,11.6011,10.505,7.74681,12.3964,6.58752,.488848,3.1225,.442354,.414177,1.74335,.454475,.738765,.647893,.841281,.741478,33,76480,6.2e+06,1.232671,36.7822,43.14854,48.09388
4312,"MISSIONEIRA",23381.4,37857.5,1.14979,1.13751,11.0214,11.2481,7.47987,11.7771,5.42849,.50177,2.59682,.461186,.443047,1.26465,.451101,.741004,.651017,.848804,.737258,21,53746,4.5e+06,1.205434,24.26043,39.07267,45.13904
4313,"METROPOLITANA",27115.6,38201.5,2.23007,2.23792,30.5748,26.527,5.06743,11.337,3.53569,.508436,1.32569,.486472,.385323,.625994,.177971,.751302,.639481,.855948,.776842,123,330925,2.5e+07,1.342817,174.19,37.16854,52.63731
4314,"CENTRO-OESTE",16190,25918,1.46141,1.41064,9.91683,9.08823,10.1381,11.9687,5.30687,.533513,3.25755,.520395,.445583,1.29345,.578116,.734761,.641383,.846134,.732924,26,62434,5.1e+06,1.223133,32.9859,41.64397,52.83323
5005,"TRES LAGOAS",34573.2,60876.4,1.11762,1.12361,17.4633,22.5377,5.7818,17.6609,9.02455,.496979,1.66199,.438745,.391399,1.18728,.346609,.719478,.612574,.833431,.730487,15,19601,1.4e+06,1.428613,7.745963,76.52671,39.5182
5006,"DOURADOS",19592.6,32010.6,.916553,1.01704,13.3638,18.4726,13.5748,18.9256,10.246,.524531,5.78355,.502355,.43358,6.38106,2.91792,.697417,.587198,.824047,.703005,52,69148,4.1e+06,1.702041,42.2153,75.20102,61.05064
5007,"CORUMBA",20374.6,24161.7,.900741,.880188,14.9796,16.1161,16.2723,17.9488,6.40409,.545228,4.4768,.552046,.438865,10.3391,2.21503,.700636,.59109,.832091,.698773,13,11326,658778,1.719244,7.497143,114.7802,66.19409
5008,"CAMPO GRANDE",20768.9,31120.5,1.77144,1.7205,18.9831,21.041,8.09709,17.2364,6.27553,.547422,2.58741,.546175,.477442,2.48215,.625953,.744392,.657595,.837897,.752344,54,117219,7.3e+06,1.598799,72.56946,46.06762,61.9093
5101,"MACRORREGIAO SUL",30585.5,44822.2,.884131,.902795,12.5295,14.1512,7.19982,16.1729,8.568,.50045,2.80507,.444688,.396881,2.00751,1.16984,.731234,.651129,.825305,.729037,23,42699,2.5e+06,1.683456,22.33979,53.86543,52.31924
5102,"MACRORREGIAO OESTE",16384.2,25353,.6887,.745361,7.36401,10.0583,13.0918,17.2335,11.5657,.523602,5.09753,.492433,.403877,6.71591,1.74395,.695619,.599135,.81463,.691569,22,23752,1.6e+06,1.52142,13.90437,92.62378,58.53978
5103,"MACRORREGIAO NORTE",24795.4,40667,.753947,.894366,7.21904,9.87055,8.99003,16.3405,7.87411,.512984,3.84659,.473278,.402951,4.23641,1.36678,.716667,.617734,.823692,.725122,38,65581,3.7e+06,1.790368,37.81099,57.94361,57.6554
5104,"MACRORREGIAO LESTE",17650.9,31466.3,.658443,.674416,5.93969,6.27172,17.6852,17.0273,11.3008,.547169,9.61964,.538052,.412611,6.54315,5.85596,.685812,.578499,.816747,.687578,10,26533,1.6e+06,1.61472,15.16997,37.68892,57.17398
5105,"MACRORREGIAO CENTRO-NORTE",21845.9,33871.2,1.45332,1.3895,18.9045,20.1671,9.00538,15.6225,7.59121,.535886,3.93923,.515964,.407932,6.01993,1.75571,.734842,.651346,.829982,.737535,94,123534,7.4e+06,1.674354,75.13469,76.09241,60.82106
5206,"MACRORREGIAO SUDOESTE",29510.6,40340.7,.907479,.856573,18.062,18.6362,5.06971,12.5945,9.26017,.520501,1.53505,.483299,.464241,1.64807,.561823,.731658,.622781,.843249,.746445,17,47633,3.3e+06,1.437415,23.0082,35.68954,48.30306
5207,"MACRORREGIAO NORDESTE",9945.57,14137.4,.653264,.578216,8.44578,6.59112,14.3177,13.1928,9.07175,.495842,5.14443,.449706,.330124,4.48037,1.5471,.694247,.598507,.828846,.676432,14,33913,6.3e+06,.5379543,13.45679,41.2821,39.68032
5208,"MACRORREGIAO CENTRO-OESTE",20436.5,28413.4,2.28625,2.13682,18.9324,20.7312,4.84465,13.2966,6.26279,.537727,1.18332,.522565,.470179,1.92521,.224149,.765025,.693588,.833476,.776603,127,205385,1.1e+07,1.818357,151.0858,61.83509,73.56223
5209,"MACRORREGIAO CENTRO-NORTE",20385.4,25963.2,1.07618,1.03424,9.15809,9.04526,9.59331,14.3108,10.2249,.495218,3.21839,.435432,.38749,3.76238,.969975,.711967,.622918,.825686,.702793,45,73393,5.5e+06,1.327847,39.63703,61.31375,54.00655
5210,"MACRORREGIAO CENTRO SUDESTE",22107,31077.5,.957679,.9738,11.0613,13.7984,5.682,13.3117,7.4289,.475475,1.37983,.396154,.346288,5.31447,.162119,.721438,.62753,.833253,.719036,31,69347,7.2e+06,.9661026,29.43397,44.70273,42.44448
5302,"DISTRITO FEDERAL",58290.1,77853.1,2.74729,2.47507,26.7515,26.5031,4.93,14.01,3.47,.63,1.19,.76,.63,.72,.09,824,742,873,863,152,288736,1.4e+07,1.998119,141.4273,52.64325,48.98152
