macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
2307,"4ª MACRO - SERTAO CENTRAL",5329.21,8369.64,.400587,.430126,1.60296,1.55277,44.2297,22.9435,28.0483,.547583,25.2906,.578345,.498467,17.7452,1.46051,.615193,.540736,.770852,.559907,20,39566,3.2e+06,1.233506,23.39589,50.54845,59.13131
2308,"3ª MACRO - CARIRI",6400.88,10262.7,.67286,.750769,3.39739,4.62624,36.9219,22.4369,25.2688,.540032,18.8479,.555926,.521546,9.96641,.921539,.640077,.573331,.77778,.58964,66,105680,7.4e+06,1.435653,69.56536,62.45269,65.82642
2309,"2ª MACRO - SOBRAL",6210.23,9932.84,.474232,.548804,2.14789,2.32011,44.1738,23.689,27.6832,.554914,24.3718,.587312,.540541,14.298,1.60732,.620877,.553427,.767487,.564729,85,116052,8.2e+06,1.418772,74.79127,73.24303,64.44634
2310,"1ª MACRO - FORTALEZA",13909.5,20574.2,1.2991,1.28835,20.6567,20.7374,20.9712,18.5922,12.0827,.559461,8.22738,.587406,.470731,8.61518,.62397,.708232,.654502,.803201,.67781,224,355368,2.3e+07,1.521671,228.6146,63.03325,64.33179
2401,"MACRORREGIAO II",12862.6,15608.2,.783258,.763233,9.40006,7.87095,25.7613,21.9528,21.8605,.512368,11.8663,.495858,.437437,11.5433,.888191,.654271,.573597,.782087,.626114,37,60797,4.4e+06,1.380351,36.81545,60.85826,60.55471
2402,"MACRORREGIAO I",12514,18099,1.31856,1.23498,16.6925,14.8202,23.0212,19.6477,17.7111,.547333,9.77836,.569939,.44841,8.63063,.549253,.68195,.599118,.797222,.667603,121,178624,1.3e+07,1.405939,110.8251,67.74006,62.04382
2501,"MACRORREGIAO III - SERTAO/ALTO SERTAO",6529.79,10387.6,.65506,.713429,3.18235,2.56732,32.746,23.3096,27.0385,.51699,16.2773,.512834,.494409,8.9946,.763357,.618278,.512779,.774892,.596316,32,57604,4.7e+06,1.230907,34.06278,55.5517,59.13266
2502,"MACRORREGIAO II - CAMPINA GRANDE",8849.14,13234.6,1.02143,1.06835,8.21571,7.7976,30.4303,23.1438,21.866,.533184,13.9149,.532394,.447606,16.8405,.498098,.637698,.541688,.77697,.619052,71,89231,5.6e+06,1.606075,63.60612,79.56876,71.28253
2503,"MACRORREGIAO I - JOAO PESSOA",12158.7,17847.2,1.46133,1.39869,12.7153,13.0416,26.0285,21.9588,19.8698,.553356,11.5707,.584911,.468769,10.0364,.507001,.666101,.572615,.789289,.657862,81,142248,9.5e+06,1.492387,93.6438,56.9428,65.83137
2605,"VALE DO S.FRANCISCO E ARARIPE",8531.99,12105,.7782,.925959,7.67851,7.04146,35.548,22.593,20.7972,.5811,17.9588,.632583,.552847,11.1316,1.87291,.629307,.528026,.776132,.61142,93,90898,4.9e+06,1.855111,73.47581,102.3125,80.83325
